Date,Destination,Min Price
2022-05-08,CCU,36.02
2022-05-09,BOM,38.93
2022-05-09,BLR,35.59
2022-05-09,MAA,37.28
2022-05-09,HYD,38.07
2022-05-09,CCU,36.02
2022-05-10,BOM,38.93
2022-05-10,BLR,35.59
2022-05-10,MAA,37.28
2022-05-10,HYD,38.07
2022-05-10,CCU,36.02
2022-05-11,BOM,38.93
2022-05-11,BLR,35.59
2022-05-11,MAA,37.28
2022-05-11,HYD,38.07
2022-05-12,BOM,38.93
2022-05-12,MAA,37.28
2022-05-12,HYD,38.07
2022-05-12,CCU,36.02
2022-05-13,BOM,38.93
2022-05-13,BLR,35.59
2022-05-13,MAA,37.28
2022-05-13,HYD,38.07
2022-05-13,CCU,36.02
2022-05-14,BOM,38.93
2022-05-14,BLR,35.59
2022-05-14,MAA,37.28
2022-05-14,HYD,38.07
2022-05-14,CCU,36.02
2022-05-15,BOM,38.93
2022-05-15,BLR,35.59
2022-05-15,MAA,37.28
2022-05-16,BOM,38.93
2022-05-16,BLR,35.59
2022-05-16,HYD,38.07
2022-05-16,CCU,36.02
2022-05-17,BOM,38.93
2022-05-17,BLR,35.59
2022-05-17,MAA,37.28
2022-05-17,HYD,38.07
2022-05-17,CCU,36.02
2022-05-18,BOM,38.93
2022-05-18,BLR,35.59
2022-05-18,MAA,37.28
2022-05-18,HYD,38.07
2022-05-18,CCU,36.02
2022-05-19,BOM,38.93
2022-05-19,BLR,35.59
2022-05-19,MAA,37.28
2022-05-19,HYD,38.07
2022-05-19,CCU,36.02
2022-05-20,BOM,38.93
2022-05-20,BLR,35.59
2022-05-20,MAA,37.28
2022-05-20,HYD,38.07
2022-05-20,CCU,36.02
2022-05-21,BOM,38.93
2022-05-21,BLR,35.59
2022-05-21,HYD,38.07
2022-05-21,CCU,36.02
2022-05-22,BOM,38.93
2022-05-22,BLR,35.59
2022-05-22,MAA,37.28
2022-05-22,HYD,38.07
2022-05-22,CCU,36.02
2022-05-23,BOM,38.93
2022-05-23,BLR,35.59
2022-05-23,MAA,37.28
2022-05-23,HYD,38.07
2022-05-23,CCU,36.02
2022-05-24,BOM,38.93
2022-05-24,BLR,35.59
2022-05-24,MAA,37.28
2022-05-24,HYD,38.07
2022-05-24,CCU,36.02
2022-05-25,BOM,38.93
2022-05-25,BLR,35.59
2022-05-25,MAA,37.28
2022-05-25,HYD,38.07
2022-05-25,CCU,36.02
2022-05-26,BOM,38.93
2022-05-26,BLR,35.59
2022-05-26,MAA,37.28
2022-05-26,HYD,38.07
2022-05-26,CCU,36.02
2022-05-27,BOM,38.93
2022-05-27,BLR,35.59
2022-05-27,MAA,37.28
2022-05-27,HYD,38.07
2022-05-27,CCU,36.02
2022-05-28,BOM,38.93
2022-05-28,BLR,35.59
2022-05-28,MAA,37.28
2022-05-28,HYD,38.07
2022-05-29,BOM,38.93
2022-05-29,BLR,35.59
2022-05-29,MAA,37.28
2022-05-29,HYD,38.07
2022-05-29,CCU,36.02
2022-05-30,BOM,38.93
2022-05-30,BLR,35.59
2022-05-30,MAA,37.28
2022-05-30,HYD,38.07
2022-05-30,CCU,36.02
2022-05-31,BOM,38.93
2022-05-31,BLR,35.59
2022-05-31,MAA,37.28
2022-05-31,HYD,38.07
2022-06-01,BOM,39.51
2022-06-01,BLR,35.86
2022-06-01,MAA,37.98
2022-06-01,HYD,38.64
2022-06-01,CCU,36.54
2022-06-02,BOM,39.51
2022-06-02,BLR,35.86
2022-06-02,MAA,37.98
2022-06-02,HYD,38.64
2022-06-02,CCU,36.54
2022-06-03,BOM,39.51
2022-06-03,BLR,35.86
2022-06-03,HYD,38.64
2022-06-03,CCU,36.54
2022-06-04,BOM,39.51
2022-06-04,BLR,35.86
2022-06-04,MAA,37.98
2022-06-04,HYD,38.64
2022-06-04,CCU,36.54
2022-06-05,BOM,39.51
2022-06-05,BLR,35.86
2022-06-05,MAA,37.98
2022-06-05,HYD,38.64
2022-06-05,CCU,36.54
2022-06-06,BOM,39.51
2022-06-06,BLR,35.86
2022-06-06,MAA,37.98
2022-06-06,HYD,38.64
2022-06-06,CCU,36.54
2022-06-07,BOM,39.51
2022-06-07,BLR,35.86
2022-06-07,MAA,37.98
2022-06-07,HYD,38.64
2022-06-07,CCU,36.54
2022-06-08,BLR,35.86
2022-06-08,MAA,37.98
2022-06-08,HYD,38.64
2022-06-08,CCU,36.54
2022-06-09,BOM,39.51
2022-06-09,BLR,35.86
2022-06-09,HYD,38.64
2022-06-10,BOM,39.51
2022-06-10,BLR,35.86
2022-06-10,MAA,37.98
2022-06-10,CCU,36.54
2022-06-11,BOM,39.51
2022-06-11,BLR,35.86
2022-06-11,MAA,37.98
2022-06-11,HYD,38.64
2022-06-11,CCU,36.54
2022-06-12,BOM,39.51
2022-06-12,BLR,35.86
2022-06-12,MAA,37.98
2022-06-12,HYD,38.64
2022-06-13,BOM,39.51
2022-06-13,BLR,35.86
2022-06-13,MAA,37.98
2022-06-13,HYD,38.64
2022-06-13,CCU,36.54
2022-06-14,BOM,39.51
2022-06-14,BLR,35.86
2022-06-14,MAA,37.98
2022-06-14,HYD,38.64
2022-06-14,CCU,36.54
2022-06-15,BOM,39.51
2022-06-15,BLR,35.86
2022-06-15,MAA,37.98
2022-06-15,HYD,38.64
2022-06-15,CCU,36.54
2022-06-16,BOM,39.51
2022-06-16,BLR,35.86
2022-06-16,HYD,38.64
2022-06-16,CCU,36.54
2022-06-17,BOM,39.51
2022-06-17,HYD,38.64
2022-06-17,CCU,36.54
2022-06-18,BLR,35.86
2022-06-18,MAA,37.98
2022-06-18,HYD,38.64
2022-06-18,CCU,36.54
